TC No,TC Ident,Tc Name,TC description,TC Fail Count,TC Fail msg,TC Additional fails msg,TC Error Count,TC error msg,Test Failure Probable reason,category,category_code
1,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Path:- \ws1\04.95.02.00.000150\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\04.95.02.00.000150\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,Target is already booked and test case running .,Target_booked,16
2,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Path:- \ws1\04.95.02.00.000150\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\04.95.02.00.000150\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,Target is already booked and test case running .,Target_booked,16
3,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Path:- \ws1\04.95.02.00.000150\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\04.95.02.00.000150\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,Target is already booked and test case running .,Target_booked,16
4,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Path:- \ws1\04.95.02.00.000150\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\04.95.02.00.000150\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,Target is already booked and test case running .,Target_booked,16
1,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.20.00.00.000663\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
2,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.20.00.00.000663\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
3,TESTCASE_20.009.008,Common: Set machine data in the NC,Common: Set machine data in the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.20.00.00.000663\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_set_MDs\test.py:39 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
4,TESTCASE_20.009.009,Common: Check machine data from the NC,Common: Check machine data from the NC,1,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: connecting to AUT failed. Path:- \ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.20.00.00.000663\hmi.swtest\testcase_repository\Basic_Tests\HMI_Squish\suite_configuration\tst_check_MDs\test.py:35 - NameError: name 'SquishUtils' is not defined,"Unable to connect AUT, Target couldn't startup properly",AUT_Error,18
1,TESTCASE_60.062.002,Program Manager - changeAccessLevelForLocalDrive : Changing Access level for LOCAL drive using slfsattributes.ini file.,Program Manager - changeAccessLevelForLocalDrive : Changing Access level for LOCAL drive using slfsattributes.ini file.,2,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Line -45,<class 'RuntimeError'>: Attaching to AUT 'slHMI' failed: another test is currently attached to the AUT. Path:- \ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py,1,Script Error - drive\ws1\06.20.00.00.000663\hmi.swtest\testscript\common\tst_Testlibrary.py:84 - NameError: name 'MyMstt' is not defined,Target is already booked and test case running .,Target_booked,16
1,TESTCASE_60.090.001,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,Test to verify that the files created with Higher Access Level cannot be edited/renamed/moved/deleted by Lower Access Levels,4,Error in sl_selectInFileView.  Line -758,"Error in sl_selectInFileView. (Screenshot in ""D:/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\failedImages\failed_1.png"") Path:- \ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI_files.py",1,"Script Error (Screenshot in ""drive/ITSReports/3457/4590/ad90528pc_220013_Run1/squishlogs/06.21.00.00.000222/EVO/PM_Access_Level/Errors\suite_PM_Access_Level\tst_cannot_edit_delete_rename_lower_access\errorImages\error_1.png"") - drive\ws1\06.21.00.00.000222\hmi.swtest\testscript\common\tst_HMI.py:654 - LookupError: Object ':SlSuSafetyModeSysDialogFrame' not found. Object name not found in Object Map.",Object couldn't find,Obj_nt_found,5
